Character,Name,Chinese,English
,德克萨斯,到了。
char_002_amiya_1#6,阿米娅,——？！
char_002_amiya_1#6,阿米娅,还要上天台吗？
char_002_amiya_1#6,阿米娅,......这道门，这道门是锁着的。
char_107_liskam_1,雷蛇,退后，让我用法术把门锁——
char_102_texas_1,德克萨斯,......
char_102_texas_1,德克萨斯,用不着吧。
char_102_texas_1,德克萨斯,踹开就得了。
char_107_liskam_1,雷蛇,......
char_106_franka_1,芙兰卡,雷蛇，多学学。
char_107_liskam_1,雷蛇,各有各的风格不行吗？！
char_107_liskam_1,阿米娅,......前面是屋顶。
char_107_liskam_1,阿米娅,我大概明白了......
char_107_liskam_1,能天使,阿米娅，那边！从那边就能到另外一边！
char_107_liskam_1,阿米娅,“那边”是哪......你是说我们可以从——
char_107_liskam_1,阿米娅,从楼顶转移？
char_107_liskam_1,能天使,Bingo——！
char_107_liskam_1,能天使,谁能想到呢！万无一失了是不是！
char_107_liskam_1,能天使,龙门啊，可是一座有着很多秘密的好——
char_107_liskam_1,整合运动成员,别想跑——！
char_107_liskam_1,能天使,......咦？这什么呀？！
char_107_liskam_1,阿米娅,......
char_107_liskam_1,阿米娅,能天使，敌人也用意想不到的方式出场了......
char_107_liskam_1,芙兰卡,我已经堵住了入口，怎么会——
char_107_liskam_1,阿米娅,难道是从附近的建筑里......
char_107_liskam_1,阿米娅,他们背着的喷气背包虽然比较简陋，但是好像完全不影响使用。
char_107_liskam_1,阿米娅,要是让他们从没有设防的地方进来的话，就不妙了......
char_107_liskam_1,能天使,切，等着，我马上去救你们。
char_107_liskam_1,芙兰卡,那就麻烦你动作快些了，拉特兰的救世主小姐。
char_107_liskam_1,雷蛇,重装小队，防御阵型！快！
char_107_liskam_1,德克萨斯,......上了。
char_107_liskam_1,阿米娅,大家，掩护先锋！
